,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management

Care for the community, Care for the employee and Care for the environment.

Excellent Locations. Excellent Service. Excellent Value.

Today, the Company continues to grow its business to implement ""best of class"" serviced office capabilities to help clients achieve office space flexibility, cost effectiveness and productivity. With a strong regional presence, accelerated growth and expansion plans, we are now looking for a highly qualified candidate for the following opening:

Purpose of the role:
Are you a Positive, Motivated, and Curious person looking to join a fantastic team as a Global Data Analyst?As a Global Data Analyst in the Global Data Analytics Team, the role is to develop a reporting platform that will bring big data to the forefront of the company.Customer database analytics, financial reporting services, and digital media analytics: these are just a few of the ways our team assists in making smarter decisions and achieving greater results. As aGlobal Data Analyst, youll be tasked with uncovering new segments, channels and projects that can lead to growth for our company.

What youll be doing:
Be curious and creative in your approach to data, be able to look through various lenses to create new ways to look at data and create actionable recommendations

Developing relationship-marketing strategies and collaborating with other departments to build dashboards for reporting and optimization of that sector of the business.

Providing integrated, analytic solutions to improve client experience and efficiency within the company

Research market trends to facilitate future expansion opportunities

Create various models to forecast revenues, churn rate, and expansion opportunities

Were looking for incredible up-and-coming talent with a few years of meaningful work experience. That should include:

Degree in Statistics, Economics, Computer Science, or Finance focus preferred with a strong record of academic achievement

13 years of business experience in management consulting, analytics, finance, or interactive consulting

Solid quantitative and research skills and proven data interpretation capabilities

Excellent verbal and written communication skills, and an ability to prepare clear and concise reports

Experience with Qliksense, Tableau, or other platforms preferred

SQL Database, Python, R, C++, and API knowledge

Interested parties please send your full resume to us by clicking Apply Now.

All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",3.1,3.1,2.6,2.7,3.2,2.5

119,PICCO Bent Consultancy,Team Head of Data Scientist,"Our client who is an well-known Financial Institutional. If you have relevant experience and would like to advance your career in a promising company, please apply the following:

Responsibilities:
Formulate long term data analysis service strategy to drive value for our business
Initiate and lead research and development of infrastructure for data extraction, preparation, and loading of data from a variety of sources using technology such as big data, artificial intelligence, machine learning / deep learning
Lead and mentor a team of data specialists to serve the data analysis needs for business units
Evaluate data analysis / visualisation tools that will offer deeper insight into the data pipeline, allowing for critical discoveries to meet business requirements
Lead training of colleagues from different business units to equip with basic data analysis skill
Propose, build and execute various data science models to leverage existing data to improve business by utilizing unstructured data
Evaluate effectiveness of proposed models in the businessâ€™s product/services and track the business performance against data analysis model

Requirements:
MSc in Computer Science, Operational Research, Statistics or a related degree
Expertise in Machine-Learning and Deep-Learning, including time-series analysis.

Experience with the following tools and technologies:
Hadoop, Spark, Kafka,
Relational SQL and NoSQL databases
Data pipeline/workflow management tools
Stream-processing systems such as Storm and Spark-Streaming
Object-oriented/object function scripting languages such as R, Python, Java, C++, etc.
Power BI or Tableau
Expertise in practical statistical analysis
Excellent communication, presentation, stakeholder management, data analytics/modelling skills
Minimum 8 yearsâ€™ work experience in data analysis in which at least 2 years in developing practical ML/DL solutions with management skill",,,,,,

120,Excel Technology International (Hong Kong) Limited,Data Analyst,"Excel Technology International (Hong Kong) Limited is a leading consulting & software solutions provider to the banking and finance sectors. Established in 1988, and headquartered in Hong Kong, Excel currently has over 500 IT professionals across Hong Kong, Taipei, Shenzhen, Guangzhou, Shanghai, Hangzhou, Beijing, and SE Asia. Over the past 30 years, we have developed a specialization in providing enterprise software development and e-Commerce solutions to financial institutions. Due to our business expansion, we are inviting high caliber candidates to join our teams handling increasingly challenging projects.

Responsibilities:
Be involved in data warehouse projects for our banking customers;
Using ETL for loading data from database.

Requirements:
Degree holder in Computer Studies, Information Technology or related qualifications;
At least 1 year's working experience;
Experience in ETL, SQL preferred;
Familiar with IBM Datastage or other BI tools (eg, Informatica, OWB, OBIEE. etc ) is a plus;
Understanding business intelligence and data warehouse is a plus;
Understanding banking industry and risk management is a plus;
Detail oriented; strong analytical skills.

For application, please send your detailed resume (in word format), current and expected salary with cover letter (please quote our reference number) to Human Resources Manager, Excel Technology International (HK) Limited, 5th Floor, 663 Kingâ€™s Road, North Point, Hong Kong or click Apply Now.
Data collected from applicants will be kept confidential and only be used for recruitment purpose.",,,,,,

121,YOU. Group HK,Data Analyst,"YOU. is a startup providing Attractions & Destinations with competitor data benchmarking & business insight reports. Using Big Data aggregation & industry specific KPIs, our customers can improve their performance and competitive edge.

Weâ€™re seeking a freelancer to collect publicly available data from websites using web scraping / web crawling procedures. Responsible for building and maintaining our database, and insuring data integrity.

Skills:
Proficient in Python or other web scraping / web crawling techniques for automation and collection of relevant data sources
Proficient in Excel
Knowledgeable in database management
Candidate must be proficient in English, and Chinese proficiency in addition is preferred
Candidate should have strong attention to detail
Ability to work independently, but can clearly communicate findings when needed
Preference given to candidates located in Hong Kong, but will consider remote working arrangement
Job Types: Part-time, Contract",,,,,,

122,Asian Aim Service Ltd,"Associate Data Scientist (Listed Group) (5 days work, No Sat) (28K-30K)","Please call Ms. Lam at 2869-8638 or email: [email redacted, apply via company website] to obtain an application form
Degree in Data Science, Computer Science, Mathematics, Statistics or relevant discipline 3-6 years experience in Data Science with Python and Machine Learning, Hadoop/Spark/TensorFlow exp. MUST Hands-on experience in machine learning and deep learning algorithms Good benefits and prospects Please call Ms. Lam at 2869-8638 / email: asianaim-biznetvigator. com to obtain an application form.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",,,,,,

123,MatchTalent Limited,Chief Data Scientist,"Responsibilities:
Define Company Data Management Strategy from translate research into analysis from collect, manage and clean available data
Create prototypes for new customer experience features and turn machine-learning outputs into operational data products
Understand data attributes, testing hypothesis and develop database, warehouse/data mart to meet business requirement
Automate and streamline the processes to maximize integration, effectiveness and efficiency on Real-Time High Frequency Trading Environment

Requirements:
MSc/ PhD holder in Computer Science, Machine Learning, Mathematic, Engineering, Statistics or other technical field
Extensive experience of data science, deep learning technologies, data mining/modelling experience in data-driven organizations
Hands-on experience of using relevant software packages, i.e. Python, R, Matlab, Hadoop, Spark, Java, Hive
Self-motivated and organized person
Fluency in English",,,,,,

124,Emerging Viral Diagnostics (HK) Limited,Research Scientist,"Responsibility: Perform molecular biology / diagnostic product research and development. Design and conduct experiments and day-to-day analytical works. Analyse results and prepare experimental documents and reports. Assist in protocols and SOPs development. Assist in managing laboratory and supervise junior members. Job requirement: Advance degree in molecular biology, biochemistry or related field with relevant work experience.Experience in molecular techniques including PCR, real time PCR, DNA cloning, recombinant DNA technology, protein expression, and cell culture, etc.Experience in molecular diagnostics or in handling clinical samples would be an advantage.Strong desire to develop a career in Biotechnology. Excellent command of English and Chinese, both spoken and written. Dynamic team player with positive attitude, self-motivated, hardworking and detailed-minded.Proactive, independent and is able to prioritize and manage multiple tasks with a strong sense of responsibility for completing tasks.Result oriented and is able to work under pressure. Travelling may be required. We offer competitive remuneration package and excellent career prospects to qualified candidates. Interested parties please send your resume together with present and expected salaries with contact details to the Human Resources Manager by clicking apply now. Personal data provided will be used for recruitment and related purposes only and strictly in accordance with the relevant Personal Data Policy for Employment. Applicants who are not contacted within 6 weeks may consider their application unsuccessful and the personal data collected will be destroyed in due course.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",,,,,,

125,RGF HR Agent,Data Analyst / Assistant Data Analyst,"Job Title

Data Analyst / Assistant Data Analyst

Language level English

Business Level

Industry

technology&online

Language level Cantonese

Job Category

technology

Language level Mandarin

Business Level

Salary

HKD18,000 - 22,000

Language level Japanese

None

Location

Hong Kong Kowloon Side

Tags

Publish Date

2020/03/17

Job Number

SDG-51753",3.7,3.4,3.6,3.5,3.6,3.3

126,Computime Ltd,Internship â€“ Data Science,"Major Responsibilities

Fetch data from various sources
Clean the data and prepare it for processing
Train and tune machine learning models under instruction

Requirements

Studying in Computer Science, Statistics, Applied Mathematics or related fields
Experience in Python/ R a plus

Interested parties, please apply together with a detailed resume, stating current and expected salary, and send it via recruitment@computime.com. Attractive remuneration will be offered in commensurate with qualifications and experience.

All personal information received will be treated in strict confidence for employment purpose only. Your application can be considered as unsuccessful if you have not been reached within 3 months. On the other hand, it may be transferred to other companies of our group for job openings. Unsuccessful applications will be destroyed for a period not more than 12 months.
Summary

Industry:
Manufacturing / Industrial

Job Category / Function:
Sciences, Lab, R&D (Research & Development (R&D))

IT (DBA)

Part Time / Temporary Job / Contract (Part Time / Temporary Job / Contract )

Job Position Level:
General

Employment Term:
Part Time

Min. Edu. Level Req:
Total Working Exp:

Salary(HKD):

Location:

Shatin District

Benefits:
Free Shuttle Bus",4.2,5,5,4.8,4.8,5

127,Lalamove,Machine Learning Engineer,"Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it. Onto our fifth year as a start-up, now operating in Hong Kong, China, Taiwan, Thailand, Singapore, Philippines and Vietnam, our aspirations donâ€™t stop there as our model has the ability to transform how goods move in any city worldwide.

As a Machine Learning Engineer at Lalamove, you will be part of the growing Data Science team working together with Data Engineers, Data Scientist and Software Engineers to support different functional departments in the headquarters, as well as our offices across Southeast Asia. You will be responsible for creating the technology that brings to production data-driven solutions - used for making our products, services and operations intelligent. You will work on a variety of challenges including Dynamic Pricing, Order Allocation, ETA, Fraud Detection, Vehicle Routing and many other applications you will help go live. The ideal candidate will have a passion for building machine learning systems from the ground up and for optimizing them.
What we seek:
Quick learner: you enjoy working with data and algorithms and have the ability to learn new frameworks and technologies quickly
Problem solver: you have strong critical thinking skills and willing to find creative solutions to difficult problems
High autonomy: self-organized, passionate with a can-do attitude and own end-to-end projects
Team player: you go the extra mile to ensure success and alignment of all parties involved
Evangelist: you effectively teach and promote innovative tech, challenge and influence the strategy of stakeholders
What you will do:
Help shape the direction and architecture of artificial intelligence at Lalamove
Deploy, schedule, monitor, evaluate and optimize solutions for performance and scalability
Build ML development environment for data scientists to model and test prototypes
Collaborate with data scientists to build ML pipelines and move prototypes into large-scale production environment
Partner with data engineers to manage data pipeline requirements as well as infrastructure and software engineers to bring models to production
What you will need:
3+ years of hands-on experience implementing high availability production machine learning systems
Experience with distributed computing technologies (e.g. Hadoop, Spark, GPUs)
Experience with AWS (S3, Redshift, SageMaker, Lambda) or GCP (ML Engine, KubeFlow)
Experience in one or more of the following: Classical ML, Deep Learning, Image Processing, NLP, Operations Research and Recommendation Systems
Experience with machine learning frameworks and libraries (e.g. Sklearn, H2O, XGBoost, TensorFlow, Theano, Keras, Spark MLlib)
Proficiency in SQL and Python
Good command of English
Nice to have:
Familiarity with Redis and MySQL
Familiarity with Scala, Golang, PHP or Javascript
Logistics domain knowledge
To all recruitment agencies - Lalamove does not accept agency resumes. Please do not forward resumes to our jobs alias, Lalamove employees or any other company location. Lalamove is not responsible for any fees related to unsolicited resumes.",2.7,2.5,2.9,2.9,3.1,2.4

128,China Citic Bank International,Data Analyst,"Responsibilities
Apply data mining and statistics (i.e. retention models, customer segmentation models, predictive forecast)
Review and validate models effectiveness and performances
Advise on appropriate analytical models based on available data, technology and platform
Prepare reports based on analysis and present to management with strategic actionable insights
Translate unstructured business questions into quantitative problems
Generate and test hypotheses, analyse and interpret the results of product experiments
Develop & maintain various performance dashboard by Tableau
Work closely with internal stakeholders and external vendors on project planning and execution
Requirements
Degree or above in Mathematics, Statistics, Data Science, Computer Science or relevant disciplines
Minimum 5 years' experience relating to data analytics, with at least 3 years in data mining, statistical modeling, predictive analytics, next to buy model, machine learning or data science related work
Proficiency in statistical tools, database software such as SAS, SAS EM, MS-Access, Machine learning
Big Data development experience (e.g. Cloudera, Hive) and knowledge of Python and analytics libraries will be an advantage
Solid experience with statistical modeling tools and data visualization tools
Implementation experiences of statistics, decision tree models, k-means clustering, logistic regression, Neural, random forest, xgboost etc.
Implementation experiences in google cloud platform will be an advantage
Strong analytical mindset and problem solving skill
Good interpersonal and communication skills
Good command of both spoken and written English and Chinese (including Putonghua)",3.9,3.9,3.9,3.8,3.6,3.8

129,Ambition,"Data Engineer / ETL developer - ETL, OLAP, BI - Perm","Contract Type: Permanent
Specialisation: Technology
Salary: HK$25000 - HK$40000 per month + Double pay, Medical benefits
REF: BBBH239532_1586327270
Louis Hui
Data Engineer / ETL developer - ETL, OLAP, BI - Perm
Location: Hong Kong
Contract Type: Permanent
Specialisation: Technology
Salary: HK$25000 - HK$40000 per month + Double pay, Medical benefits
REF: BBBH239532_1586327270
Louis Hui
Email Louis View Louis's other roles

Responsibilities:
Design data modelling in multi-dimensional database, Online Analytical Processing (OLAP) and Extract-Transform-Load (ETL) and Information Design Tool
Design analytics dashboards to inspire users in decision making using dominant business intelligence & data visualization tools
Design, development and maintenance of Data Management Solution for Analytics, including Data Lake, Data Warehouse and customized data pipelines
Evaluate and recommend the technical solutions, including software tools and technologies; design and develop architecture and application as to present the analysis result
Ensure projects are delivered on time and to the agreed standards
Work closely with vendors

Requirements:
University graduate in Computer Science, Information Technology or related disciplines
3+ years working / project experience participating in ETL, OLAP, Business Intelligence or related duties
Solid hands-on working experience in ETL tools, e.g. DataStage / Data Factory / Boomi / SAS or relevant tools
Good knowledge in traditional database management systems, e.g. DB2, Sybase, MSSQL, MongoDB, Oracle database or relevant products
Familiar with BI / data analytics tools for data visualisation / dashboard presentations, e.g. QlikView, Qlik Sense, Tableau, Power BI, Spotfire or relevant tools
Working experience in Cloud database is definitely an advantage, e.g. Amazon Web Services (AWS), Microsoft Azure SQL Database, Cloud SQL by Google or similar products
Experience in big data products is an advantage, e.g. Hadoop, Spark or similar products
Good command of spoken and written Cantonese, English, ideally Mandarin as well

Interested parties may contact Louis Hui via Louis.Hui@ambition.com.hk OR click APPLY NOW.",3.8,3.5,3.9,3.8,3.4,3.7

130,Zuellig Pharma Limited,Business Intelligence Analyst,"Job Responsibilities:
Building charts, reports and analytics to provide data dashboards to external and internal clients
On-going engagement / interaction with external clients in support of Data Analytics projects

Job Requirements:
Bachelor degree in Information Technology or any related academic disciplines
3 to 5 years of experience in similar roles
Relevant working experience on one of the following software: o Tableau, R, Python, MSSQL, QlikView, Spotfire
Business intelligence, analytics or management consulting background
Strong communication skills to all stakeholders at all levels is a must
Fluent in spoken and written English and Chinese

We offer competitive remuneration package to the right candidate. Interested parties please apply with full resume stating present and expected salary to : The Human Resources Manager, Zuellig Pharma Ltd., Suite 608, 6/F, Devon House, Taikoo Place, Quarry Bay, Hong Kong or email to

r e c r u i t - z p h k @ z u e l l i g p h a r m a . c o m

Only shortlisted candidates will be notified.Personal data collected will be used for recruitment purpose only.",3.5,3.2,3,3.1,2.8,2.7

131,Siemens Healthineers,MR Collaboration Research Scientists (Senior),"Do you want to help create the future of healthcare? Our name, Siemens Healthineers, was selected to honor our people who dedicate their energy and passion to this cause. It reflects their pioneering spirit combined with our long history of engineering in the ever-evolving healthcare industry.

We offer you a flexible and dynamic environment with opportunities to go beyond your comfort zone in order to grow personally and professionally. Sound interesting?

Then come and join our team as MR Collaboration Research Scientists.

Siemens Healthcare Hong Kong is looking for MR Collaboration Research Scientists to manage and support the MR research collaboration in Hong Kong. We are seeking highly motivated and experienced individuals to join our team to help maximize the clinical and business impact of collaboration work.

Your mission and responsibilities:
Develop new MR techniques and applications to provide better medical MR imaging solutions. Including sequence development projects done in collaboration with the collaboration partner.
Provide technical support to the collaboration partner for advanced research questions, including support in sequence programming using the IDEA platform.
Managing both internal & external resources to develop and test new MR techniques.
Leading the design and implementation of research / development projects in a way consistent with international standards in the interest of Siemens and clinical needed.
Management of the collaboration process from, project design, project implementation, completion of data collection, storage and presentation and final closure of the projects.
Preparation and writing of scientific papers together with collaboration partners to ensure the work has impact in the scientific and academic community.
Act as a liaison between this customer and Siemens Healthineersâ€™ research collaborators and Siemens Healthineersâ€™ internal groups in Greater China and world-wide, including, but not limited to R&D, development teams, collaboration teams and Marketing.
A substantial amount of time will be spent with collaboration partners to provide research / academic consultancy on many topics related to MRI research and liaising with Siemens colleagues in Greater China, headquarters and globally to help develop future technologies.
Your qualifications and experiences:
Previous research experience in medical imaging, preferably in MRI
M. Phil/PhD in medical-imaging related field, preferably MRI (alternatively Technologist/Technician, medical engineer, clinical scientist,)
Hands-on experience with MRI equipment, Experience with Siemens IDEA pulse sequence programming is a plus
Basic medical knowledge
Ability and interest to motivate and guide collaboration partners through the process of research projects
Communicate effectively with customers, colleagues and the medical community about the research work
Ability to work independently but maintain good contact with the international Collaboration team
Strong attention to detail, outstanding communications skills, ability to create new and innovative solutions, establish and maintain relationships with a variety of people in different roles / levels and physical locations are critical.
Experience in publishing and presenting scientific work to the medical community, especially experience in writing scientific papers for international journals. An outstanding track record of peer reviewed publications is highly desired.
Excellent command of English, both written and spoken. Native speaker or working proficiency in mandarin is preferable.
How to Apply:

We are an equal opportunity employer and welcome applications from all qualified candidates. Attractive remuneration package and excellent career prospects will be offered to the right candidate. Interested persons, please send your full resume with expected salary in your application by clicking ""Apply Now""/ by email to hchr.hk@siemens-healthineers.com or by mail to:

The Human Resources Manager
Siemens Healthcare Limited
Units 903-904, 9/F, Tower B, Manulife Financial Centre,
223-231 Wai Yip Street,
Kwun Tong, Hong Kong

Applicants not hearing from us within 4 weeks from the date of advertisement may consider their applications filed for future reference. We reserve the right to review applications received for suitability for other posts within the company. Personal data provided by job applicants will be used strictly for recruitment related purpose only. We shall retain the personal data of unsuccessful applicants for a period of 1 year.

Being part of our team:

Siemens Healthineers is a leading global medical technology company. More than 48,000 dedicated colleagues in over 70 countries are driven to shape the future of healthcare. An estimated 5 million patients across the globe benefit every day from our innovative technologies and services in the areas of diagnostic and therapeutic imaging, laboratory diagnostics and molecular medicine, as well as digital health and enterprise services.

Curious about our culture?

Our culture embraces different perspectives, open debate and the will to challenge convention. Change is a constant aspect of our work. We aspire to lead the change in our industry rather than just react to it. Thatâ€™s why we invite you to take on new challenges, test your ideas and celebrate success.

Check our Career Site at https://jobs.siemens-info.com/healthineers/

Organization: Siemens Healthineers

Company: Siemens Healthcare Limited

Experience Level: Experienced Professional

Job Type: Full-time",3.9,3.8,3.9,3.6,3.9,3.3

132,"Pure Hong Kong, EA Licence No: 12S5954",SVP/VP Data Scientist - Experiences in Financial/Economics Data,"Responsibilities:
Manage the analytics team to develop the forecasting models with complex data sets to solve difficult business problems
Work closely with the IT team and involve in the full development cycle
Provide insight to the business to improve efficiency of the products and the processes
Lead the team to complete modelling and analytics projects
Work closely with othe analytics team across the region to drive the innovative projects
Manage expectation and build relationships with senior business stakeholders, including CEO and other C-level management
Analyze the company data broadly and gives out recommendations to executives.

Requirements:
Degree holder in Computer Science, Statistics, Mathematics or other related discipline
10 years+ relevant work experiences in Data Scientist or Statistical Modelling (Candidates with less would be considered for a junior role)
Working knowledge of at least one statistical programming language, such as Python, R, SAS, etc
Expereinces in analyzing financial/economics data, such as interest rates, FX, GDP, etc.
Good communication skills in English",,,,,,

133,ulifestyle.com.hk,Data Analyst,"U Lifestyle is the leading lifestyle digital platform in HK. We constantly explore new technology trends to satisfy our users. We strive to promote a positive and quality lifestyle. We provide a wide variety of contents including local entertainment, food, beauty, travel and etc.
In U Lifestyle, you can always find something new and funny in life. Enjoy life with users is our mission.

If you are looking for a dynamic environment to grow, contact us at [email redacted, apply via company website]

Responsibilities:
Conduct quantitative analysis and data mining to support informed decisions and provide data-driven recommendations
Provide support in developing metrics for measuring and benchmarking product performance
Assist in setup, testing and on-going optimization of Business Intelligence tools
Understand business needs and build visualized dashboards and reports with automation in mind
Monitor and recognize root causes of changes in metrics
Design, plan and evaluate experiments to get actionable insights and to grow business performance

Requirements:
BA/BS in Economics, Math, Physics, Computing, Statistics, Business Administration or other relevant subject
Proficient in MS Excel
Knowledge of Data Visualization and Business Intelligence (e.g. Tableau, Data Studio, Power BI)
Experience in any scripting language (Python / R / JavaScript)
Good communication skills to present and explain the results of analysis
Adaptive to change and proactive to learn
Statistics knowledge is a plus (e.g. hypothesis testing, regressions)
Fresh graduates will also be considered

We offer attractive remuneration package to the right candidate including excellent career path, friendly working environment, 5-day work week, competitive salary, birthday leave, discretionary bonus and medical benefits.

Interested parties please complete online application form via https://hket.ctgoodjobs.hk/a/06077331-001

Personal data provided by job applicants will be used strictly in accordance with our Personal Data Policy, a copy of which will be provided immediately upon request.

Full-time",,,,,,

134,lalamove,Data Science,"Lalamove is disrupting the logistics industry by connecting customers and drivers directly through our technology. We offer customers a lightning fast and convenient way to book delivery and moving services whether they are at their home, at work or on the go. People talk about O2O, we live it. Onto our sixth year as a start-up, now operating in South East Asia, China, India and Latin America, our aspirations donâ€™t stop there as our model has the ability to transform how goods move in any city worldwide.

As a Lead of the Data Science, Analytics Team at Lalamove, you will be managing a growing team of data scientists to support different functional departments in the functional offices, as well as our operation offices across the globe.
You will be delivering actionable insights with recommendations to optimize critical processes across the business.
You will work on a variety of challenges including Price Optimization, Demand Forecasting, Fulfillment Prediction, Fraud Detection and many others you will help identify and resolve.
The ideal candidate possess demonstrated track record in leading advanced analytics and machine learning projects which delivered measurable values to the businesses.

Who we seek:
Evangelist: you effectively teach and promote innovative tech, challenge and influence the strategy of stakeholders
Quick learner: you enjoy working with data and algorithms and have the ability to learn new frameworks and technologies quickly
Problem solver: you have strong critical thinking skills and willing to find creative solutions to difficult problems
High autonomy: self-organized, passionate with a can-do attitude and own end-to-end projects
Team player: you go the extra mile to ensure success and alignment of all parties involved

What you will do:
Manage and mentor a team of data scientistsConceive, plan and prioritize optimization projectsCollaborate with other data teams effectively on BI, Data Engineering and Data Science dependencies and deliverables
Interpret and analyze business problems and opportunities
Measure performance of project deliverables

What you will need:
Graduate degree in Data Science, Econometrics, Mathematics or other applied sciences3+ years of hands-on experience in Data Science
Experience in one or more of the following: Classical ML, Time Series Forecasting, NLP, Operations ResearchExperience with machine learning frameworks and libraries (e.g. Sklearn, H2O, Prophet)Proficiency in SQL and Python
Good command of English

Nice to have:
Logistics domain knowledge
Experience in distributed computing technologies (e.g. Hadoop, Spark, GPUs)
Experience in AWS (S3, Redshift, SageMaker, Lambda)",2.7,2.5,2.9,2.9,3.1,2.4

135,Hai Kang Life Corporation Ltd,Research Scientist,"Career in R D Breakthrough technology in Molecular Diagnostic Device We invite you to talk to us if you enjoy working in a dynamic environment and contribute to achieve the invention and development of high-impact, innovative experimental methods that lead to novel therapeutics and methods of disease screening and prevention, and passionate in contributing to the betterment of human life. About Hai Kang Life Corporation Limited (HKLife) A pioneering biotechnology company with global presence, we are dedicated to advance molecular technology, development of biotechnology applications and systems into innovative products that significantly enhance diagnostics, genetic testing and genomic research. We are at the stage of translating a decade of experience into a BioRadar System, which we believe to disrupt current diagnostics and healthcare system. Our BioRadar System encompasses two key elements: the proprietary patented EFADchip, a Lab-on-a-Chip, where the biological reactions take place, and the BioRadar, which automates the whole diagnostic process. At HKLife, we deliver innovative and cutting-edge clinical solutions to the entire world, enabling rapid diagnostics and outbreak monitoring through our disruptive BioRadar System. In the future, BioRadar System will assume a significant role in personalized medicine, disease surveillance, prognosis and theragnosis. For more details, please visit us atwww.HAIKANGLIFE.com, and our story in Science magazine (http://science.sciencemag.org/content/332/6037/1497).
As a key member of the team, and working closely with the Chief Science Officer, you will best utilize your scientific expertise focusing on : lead and drive designated experimental plans for an innovative molecular diagnostic device : from design, implementation to output, supervise progress and aid in troubleshooting; and contribute to the ultimate success as planned; evaluate, optimize, and validate formulations and methodologies manage design, measurement, and analysis of results, for regulatory compliance Develop, track and manage detailed development program timelines, resources and budget allocations, deliverables and milestone progress; Maintain and evaluate analysis; present research reports that communicate the research ideas, and recommendations Manage ad hoc projects as assigned. Ideal, you should be/possess : PhD Degree with training in molecular biology, microbiology, analytical chemistry, electrochemistry, or biotech-related science studies; At least 2 years of experience in leading and managing research experimental projects gained in life science industries with demonstrated ability to design biological trials Ability to create clear, succinct, and organized scientific reports Self-motivated and passionate in contributing to the betterment of human life Enjoy problem-solving and critical thinking with an inquisitive mindset Committed, team-oriented and highly value progress and dynamics Good interpersonal, communication and leaderships skills Proficient in English and Chinese languages For interested applicants, please click APPLY NOW and provide a copy of your CV listing your achievements and a covering letter detailing why you feel you would be suitable for this position. All Personal data collected will be strictly confidential and used for recruitment purpose only. Applicants who are not invited to an interview within one month from the closing date should consider their applications unsuccessful. If you are not selected, all data will be destroyed within six months from the date you applied.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent",,,,,,

136,Bohan Group,Quantitative Analyst - Intern/ Junior,"Responsibilities:
Assist in equity structured product modelling and process development for the equity derivatives business.
Assist in product pricing, trade processing, risk analysis, product lifecycle management.
Assist in processes design and supportï_Œrelevant business platform development, data analysis, reporting and information management, decision support
Work with IT system analysts, optimizing functioning of various trading systems.
Requirements:
Master degree or above in mathematics, physics, computer science, engineering and quantitative finance
Strong practical programming experience from previous job/internship/project, proficient in a major object-oriented programming language, proficient in Python or a common scripting language, familiar with object-oriented and event driven development model
Strong analytical skills and ability to research and solve problems
Good team work and communication skills, both written and oral
Self-motivated, self-driven and lifetime learner
Able to work efficiently and independently in a fast-paced, high pressure environment
Have a deep understanding of algorithms, patterns and architectures;
Basic knowledge of financial markets and related financial products, and preliminary understanding of pricing, execution of the trading transaction, and product life cycle.
Structured thinking, able to convert a loosely defined real life problem to a structured one, and take a rough idea of solution to its full implementation",,,,,,

137,DBS Bank,"AVP/Senior Associate - Data Scientist, Data Management Team","Business Function

Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.

Job Summary

DBS has embarked on a transformation journey with the objective to become a truly data-driven organization. The program focuses on maximizing value from data by building data analytics capability and culture, making frictionless access to quality data and building a scalable and secure data platform.

As part of this journey in our HK office, we are building a team of Intelligent, explorative, passionate and data loving people who can take ambiguous problem statements and uncertain ideas and build them into finished products using their analytical mindset and skillset. We call them Data Scientists.

Responsibilities

Understand and break down business problems and recompose them in formulations that can be solved by analytical techniques and modelling
Plan and execute analytical/Machine Learning project from data sourcing, data cleansing, to model development, model validation, implementation, prototyping and testing.
Present key findings, visualizing and presenting results to related business teams/users.
Work with tech/engineering teams to deploy completed models across different channels, customer and back office platforms to deliver business impact to the organization.
Produce end to end project/experiment documentation including problem statement, data/algorithms used, models built, validation approach, and recommendations on model maintenance and re-calibration.
Contribute to the analytics community which may include developing ways of working; sharing experience with colleagues; peer reviews; and providing training or coaching to less experienced colleagues.

Requirements

PhD or Masterâ€™s degree preferred in Computer Science or Mathematics with at least 3 years of relevant working experience analytics/data Science.
Hands-on end-to-end experience designing and building machine learning models and workflows including data sourcing, wrangling, transformation, feature engineering and modelling.
Experience in two or more of the following: Classic Machine Learning, Deep Learning, Natural Language Processing, Time Series Modeling, Operations Research, Reinforcement Learning and Recommendation Systems
Experience with machine learning frameworks and libraries (e.g. Scikit-learn, TensorFlow, Theano, Keras, Spark MLlib)
Basic knowledge on DevOps and development tools (e.g. Docker, OpenShift, Git) and cloud platforms such as AWS, Azure or GCP
Proficiency in Python and SQL.
Experience with distributed computing systems (e.g. Spark /PySpark) is a plus
Experience with Cantonese / Mandarin Text and Speech Analytics / Natural Language Processing (NLP) is an advantage
Fluency in English and Cantonese

Apply Now

We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.

We regret only shortlisted candidates will be notified.",3.7,3.6,3.5,3.5,3.1,3.2

138,AXA Funds Management,Quantitative Researcher,"The main responsibilities of the role:
